SchoolName,YearTerm,Religion,Level,Total
โรงเรียนปทุมวิไล,2564/1,คริสต์,P1,0
โรงเรียนปทุมวิไล,2564/1,คริสต์,P2,0
โรงเรียนปทุมวิไล,2564/1,คริสต์,P3,0
โรงเรียนปทุมวิไล,2564/1,คริสต์,P4,0
โรงเรียนปทุมวิไล,2564/1,คริสต์,P5,0
โรงเรียนปทุมวิไล,2564/1,คริสต์,P6,0
โรงเรียนปทุมวิไล,2564/1,คริสต์,M1,0
โรงเรียนปทุมวิไล,2564/1,คริสต์,M2,0
โรงเรียนปทุมวิไล,2564/1,คริสต์,M3,1
โรงเรียนปทุมวิไล,2564/1,คริสต์,M4,1
โรงเรียนปทุมวิไล,2564/1,คริสต์,M5,1
โรงเรียนปทุมวิไล,2564/1,คริสต์,M6,2
โรงเรียนปทุมวิไล,2564/1,พราหมณ์/ฮินดู,P1,0
โรงเรียนปทุมวิไล,2564/1,พราหมณ์/ฮินดู,P2,0
โรงเรียนปทุมวิไล,2564/1,พราหมณ์/ฮินดู,P3,0
โรงเรียนปทุมวิไล,2564/1,พราหมณ์/ฮินดู,P4,0
โรงเรียนปทุมวิไล,2564/1,พราหมณ์/ฮินดู,P5,0
โรงเรียนปทุมวิไล,2564/1,พราหมณ์/ฮินดู,P6,0
โรงเรียนปทุมวิไล,2564/1,พราหมณ์/ฮินดู,M1,0
โรงเรียนปทุมวิไล,2564/1,พราหมณ์/ฮินดู,M2,0
โรงเรียนปทุมวิไล,2564/1,พราหมณ์/ฮินดู,M3,0
โรงเรียนปทุมวิไล,2564/1,พราหมณ์/ฮินดู,M4,0
โรงเรียนปทุมวิไล,2564/1,พราหมณ์/ฮินดู,M5,0
โรงเรียนปทุมวิไล,2564/1,พราหมณ์/ฮินดู,M6,1
โรงเรียนปทุมวิไล,2564/1,พุทธ,P1,0
โรงเรียนปทุมวิไล,2564/1,พุทธ,P2,0
โรงเรียนปทุมวิไล,2564/1,พุทธ,P3,0
โรงเรียนปทุมวิไล,2564/1,พุทธ,P4,0
โรงเรียนปทุมวิไล,2564/1,พุทธ,P5,0
โรงเรียนปทุมวิไล,2564/1,พุทธ,P6,0
โรงเรียนปทุมวิไล,2564/1,พุทธ,M1,627
โรงเรียนปทุมวิไล,2564/1,พุทธ,M2,634
โรงเรียนปทุมวิไล,2564/1,พุทธ,M3,632
โรงเรียนปทุมวิไล,2564/1,พุทธ,M4,468
โรงเรียนปทุมวิไล,2564/1,พุทธ,M5,482
โรงเรียนปทุมวิไล,2564/1,พุทธ,M6,441
โรงเรียนปทุมวิไล,2564/1,อิสลาม,P1,0
โรงเรียนปทุมวิไล,2564/1,อิสลาม,P2,0
โรงเรียนปทุมวิไล,2564/1,อิสลาม,P3,0
โรงเรียนปทุมวิไล,2564/1,อิสลาม,P4,0
โรงเรียนปทุมวิไล,2564/1,อิสลาม,P5,0
โรงเรียนปทุมวิไล,2564/1,อิสลาม,P6,0
โรงเรียนปทุมวิไล,2564/1,อิสลาม,M1,5
โรงเรียนปทุมวิไล,2564/1,อิสลาม,M2,6
โรงเรียนปทุมวิไล,2564/1,อิสลาม,M3,6
โรงเรียนปทุมวิไล,2564/1,อิสลาม,M4,5
โรงเรียนปทุมวิไล,2564/1,อิสลาม,M5,6
โรงเรียนปทุมวิไล,2564/1,อิสลาม,M6,1
โรงเรียนปทุมวิไล,2564/1,อื่นๆ,P1,0
โรงเรียนปทุมวิไล,2564/1,อื่นๆ,P2,0
โรงเรียนปทุมวิไล,2564/1,อื่นๆ,P3,0
โรงเรียนปทุมวิไล,2564/1,อื่นๆ,P4,0
โรงเรียนปทุมวิไล,2564/1,อื่นๆ,P5,0
โรงเรียนปทุมวิไล,2564/1,อื่นๆ,P6,0
โรงเรียนปทุมวิไล,2564/1,อื่นๆ,M1,0
โรงเรียนปทุมวิไล,2564/1,อื่นๆ,M2,0
โรงเรียนปทุมวิไล,2564/1,อื่นๆ,M3,0
โรงเรียนปทุมวิไล,2564/1,อื่นๆ,M4,1
โรงเรียนปทุมวิไล,2564/1,อื่นๆ,M5,0
โรงเรียนปทุมวิไล,2564/1,อื่นๆ,M6,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2564/1,คริสต์,P1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2564/1,คริสต์,P2,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2564/1,คริสต์,P3,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2564/1,คริสต์,P4,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2564/1,คริสต์,P5,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2564/1,คริสต์,P6,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2564/1,คริสต์,M1,4
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,2564/1,คริสต์,M2,1
